data_status,source_class,record_group,statement_or_register,period,record_id,line_item,management_amount_rmb_m,adjustment_rmb_m,adjusted_amount_rmb_m,restriction_or_due_date,tb_or_source_ref,evidence_status,note
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2025,PL25-EBITDA,Adjusted EBITDA,-9.3,-1.8,-11.1,2025-12-31,SYN-TB25-OPS/SYN-ADJ-REGISTER,Adjusted reconciliation,"Includes grant as other operating income"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,FY2025,PL25-NET,Net profit loss,-10.8,-1.8,-12.6,2025-12-31,SYN-TB25-3104/SYN-ADJ-REGISTER,Adjusted reconciliation,"Synthetic"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,H1 2026,PL26-REV,Revenue,14.6,-5.8,8.8,2026-06-30,SYN-TB26H1-6001/SYN-ADJ-2603/SYN-GRANT-26,Adjusted reconciliation,"Reverse 4.6 unsupported P2603 revenue; reclassify 1.2 grant"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,H1 2026,PL26-COGS,Cost of revenue,10.2,-1.7,8.5,2026-06-30,SYN-TB26H1-6401/SYN-WIP-26/SYN-WARRANTY-2601,Adjusted reconciliation,"Restore 3.0 WIP; add 1.3 remediation provision"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,H1 2026,PL26-GP,Gross profit,4.4,-4.1,0.3,2026-06-30,SYN-TB26H1-6001/6401,Arithmetic reconciliation,"Adjusted gross margin 3.4%"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,H1 2026,PL26-OTHER,Other operating income,0.0,1.2,1.2,2026-06-30,SYN-GRANT-26,Reclassification,"Synthetic grant"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,H1 2026,PL26-EBITDA,Adjusted EBITDA,-3.6,-2.9,-6.5,2026-06-30,SYN-TB26H1-OPS/SYN-ADJ-REGISTER,Adjusted reconciliation,"Synthetic"
Synthetic,Enterprise-prepared,P&L reconciliation,Management P&L to adjusted TB,H1 2026,PL26-NET,Net profit loss,-5.1,-2.9,-8.0,2026-06-30,SYN-TB26H1-3104/SYN-ADJ-REGISTER,Adjusted reconciliation,"Synthetic"
Synthetic,Transaction counterparty copy,Debt and obligations,Obligation register,2026-06-30,OBL-01,SYN-BANK-A loan,,,6.0,2026-09-30,SYN-LOAN-A-01,Simulated signed copy,"5.2% interest; 1.7 deposit pledge; two utility-model pledges; founder-role guarantee"
Synthetic,Enterprise-held related-party copy,Debt and obligations,Obligation register,2026-06-30,OBL-02,Founder related-party loan,,,3.5,Due on demand,SYN-RP-LOAN-01,Simulated signed copy,"No subordination agreement"
Synthetic,Transaction counterparty copy,Debt and obligations,Obligation register,2026-06-30,OBL-03,Equipment finance lease,,,1.8,0.6 within 12 months,SYN-LEASE-01,Simulated signed copy,"1.2 non-current"
Synthetic,Enterprise-prepared,Debt and obligations,Obligation register,2026-06-30,OBL-04,Overdue trade payables,,,3.6,Past due over 90 days,SYN-AP-AGING-0630,Enterprise aging schedule,"Subset of total 7.4 trade payables"
Synthetic,Enterprise-prepared,Debt and obligations,Obligation register,2026-06-30,OBL-05,Accrued payroll social insurance and tax,,,0.9,Past due/current,SYN-PAYROLL-TAX-0630,Enterprise schedule,"Synthetic"
Synthetic,Transaction counterparty copy,Debt and obligations,Obligation register,2026-06-30,OBL-06,P2602 refundable capacity reservation,,,2.4,Refundable if no PO by 2026-09-30,SYN-P2602-FRAMEWORK/SYN-RECEIPT-2602,Simulated counterparty copy,"Contract liability; not recognized revenue"
Synthetic,Enterprise-prepared,Debt and obligations,Obligation register,2026-06-30,OBL-07,P2601 remediation provision,,,1.3,Current estimate,SYN-DEFECT-2601/SYN-REPAIR-BUDGET-01,Enterprise estimate,"Not recorded in original management P&L"
